B01001_001E,B19013_001E,B19001_001E,B25003_003E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,B11001_001E,B11001_002E,B11001_007E,B15003_001E,B15003_016E,B15003_017E,B15003_018E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B20002_002E,B20002_003E,B23025_001E,B23025_002E,B23025_005E,B18101_001E,B18101_002E,B17001_001E,B17001_002E,state,county,tract
3538,-666666666,0,0,0,0,0,0,3538,958,1545,79,866,0,0,0,3117,217,1022,501,60,18,7,9,11,20150,-666666666,3538,0,0,0,0,0,0,36,005,000100
5177,121171,1446,582,0,0,73,140,5177,77,1517,311,3198,1446,1114,332,3735,31,886,320,298,574,649,0,45,40833,47459,4359,2703,140,5177,2647,5177,729,36,005,000200
6481,98242,2246,870,66,105,171,144,6481,333,2481,19,3483,2246,1480,766,4557,111,887,74,390,1118,391,184,0,50770,48276,5244,3341,243,6481,3104,6481,317,36,005,000400
6011,42957,2149,1653,466,60,55,508,6011,104,2087,282,3299,2149,1441,708,3858,177,967,105,448,492,213,0,0,37004,28589,4970,2648,307,5818,2584,5759,1044,36,005,001600
2401,67361,1092,1092,59,76,134,386,2401,355,875,12,1085,1092,615,477,1710,96,352,10,233,302,206,17,8,46150,57712,1923,1464,77,2398,1214,2396,730,36,005,001901
1979,76429,566,455,41,9,31,121,1979,93,343,0,961,566,334,232,1483,85,161,43,293,76,78,30,0,43309,23440,1754,1262,326,1968,1087,1949,689,36,005,001902
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,005,001903
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,005,001904
4300,23208,1726,1726,297,147,82,230,4300,24,1698,0,2142,1726,970,756,2347,133,540,233,169,88,20,0,0,35781,22612,3172,1284,383,4300,1648,4300,2146,36,005,002001
3689,18029,1832,1419,304,98,170,332,3689,35,904,0,2730,1832,918,914,2799,0,526,22,87,221,46,0,0,-666666666,48253,3159,1479,340,3689,2202,3436,1632,36,005,002002
4527,18750,1917,1917,204,221,95,425,4527,7,1284,0,3179,1917,1164,753,2727,237,495,67,413,75,52,21,0,30559,22791,3459,1342,313,4527,2198,4526,2177,36,005,002300
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,005,002400
5460,27207,1903,1745,114,130,89,748,5460,433,1133,0,3835,1903,1254,649,3288,155,961,115,84,323,46,77,24,21570,21169,4185,2331,286,5460,2652,5414,2512,36,005,002500
2830,18788,1167,1140,76,73,160,492,2830,25,602,27,2176,1167,797,370,1706,261,357,176,15,159,0,0,0,37619,20397,1885,938,204,2830,1215,2812,1604,36,005,002701
5156,31379,1508,1379,150,101,51,645,5156,8,1520,0,3573,1508,1119,389,3191,331,695,285,177,173,156,0,0,37014,27992,3742,1860,274,5156,2164,5112,2458,36,005,002702
5420,66235,2717,2381,74,263,332,301,5420,33,3243,0,2144,2717,1221,1496,4260,188,643,49,399,949,743,0,54,42376,47395,4554,2791,60,5420,2071,5388,275,36,005,002800
2641,43480,1104,990,44,80,90,423,2641,47,913,166,1397,1104,803,301,1734,80,379,101,101,294,91,0,0,40266,35660,1997,1341,169,2641,1294,2641,543,36,005,003100
3407,37957,1225,1047,44,54,59,326,3407,92,1178,0,2137,1225,858,367,2040,254,249,71,49,398,30,0,0,53036,39967,2443,1152,103,3407,1294,3407,1333,36,005,003300
3529,34508,1483,1410,10,106,303,418,3529,126,474,24,2739,1483,1038,445,2310,74,234,356,204,259,79,30,0,41781,14690,2634,1318,127,3529,1604,3529,949,36,005,003500
285,-666666666,158,158,8,0,0,27,285,16,68,0,201,158,63,95,219,34,0,0,24,31,0,0,0,-666666666,45677,227,121,8,285,149,254,128,36,005,003700
1215,42614,377,208,40,11,30,50,1215,4,128,46,1037,377,246,131,712,122,118,25,90,16,8,14,0,31875,30139,890,476,166,1215,538,1211,558,36,005,003800
6346,28508,2299,2207,330,147,25,715,6346,251,118,16,5770,2299,1312,987,3894,62,979,239,217,271,228,48,22,43157,17457,4721,2816,280,6346,3388,6326,2360,36,005,003900
1378,76050,507,263,28,32,10,20,1378,17,175,397,711,507,354,153,973,55,223,39,60,128,145,0,0,68646,43400,1145,589,28,1378,737,1378,107,36,005,004001
6272,21819,2359,2239,259,129,21,1038,6272,55,2003,68,4039,2359,1383,976,4076,312,640,367,328,374,37,0,0,40672,28585,4875,2485,490,6229,2630,6242,2687,36,005,004100
7976,52974,2837,2499,155,0,281,735,7976,56,2369,18,5533,2837,2142,695,5019,181,982,299,283,589,443,53,0,41714,42049,5901,3708,474,7944,3929,7976,1584,36,005,004200
5041,29704,2099,1867,187,282,52,640,5041,64,1409,0,3317,2099,1158,941,3169,204,424,323,210,398,29,0,45,23177,35044,3964,1917,319,5041,2145,5026,2055,36,005,004300
4323,21016,1578,1524,183,126,90,393,4323,46,1238,141,2769,1578,1046,532,2706,65,541,284,236,107,72,10,0,28670,24137,3295,1474,299,4140,1763,4140,1861,36,005,004400
1784,21346,658,547,39,25,0,225,1784,61,502,0,1204,658,382,276,1085,58,232,85,102,136,87,7,0,54333,25217,1239,560,61,1784,727,1715,949,36,005,004600
4139,45118,1504,1449,46,168,128,456,4139,59,673,130,3257,1504,1117,387,2693,51,643,114,180,265,47,35,0,41639,23074,3074,1657,119,4139,2041,4127,1184,36,005,004800
